QUESTIONS,ANSWERS
"Out of Anuradhapura and Polonnaruwa, which site has the most historical value.",Both Anuradhapura and Polonnaruwa are rich in historical value. Your preference might depend on whether you’re more interested in ancient Buddhist history and religious sites (Anuradhapura) or medieval architecture and urban planning (Polonnaruwa).
What are the must visit places in Colombo?,"Galleface Green, Viharamahadevi Park, Colombo National Museum, Independence square, Pettah market, Shopping malls, Gangarama temple, Red Mosque"
What is the most suitable class/compartment of the train we should book for our train ride since we want to lean and take photographs?,02nd Class compartments
How many days prior should we reserve our train tickets?,30 days prior to the train ride.
Do you assist in reserving train tickets?,"We will share with you a link to reserve train tickets, and we will assist"
Can we buy train tickets in the last minute?,It is subjected to the availability of the seats.
What is the process of booking train tickets.,"You can use the link below to log in to the site. 1. Sri Lanka Railways Official Website: https://seatreservation.railway.gov.lk/mtktwebslr/ (tickets get released 30 days before the train date)
2. 12Go Asia: https://12go.asia/en"
Where can we go on whale and dolphin watching?,In Mirissa (from November to April) / In Trincomalee (from May to October)
"What are the water sports we can do in Mirissa, Trincomalee and Bentota?","Mirissa- Diving, Whale Watching, Surfing,Kayaking and Paddleboarding / Trincomalee-Snorkeling.diving,Jet Skiing and Banana Boat Rides, Whale watching,Kite surfing / Bentota-Water Skiing and Wakeboarding,Jet Skiing,Kayaking and Canoeing,Diving and Snorkeling"
Do you provide domestic helicopter and sea plane facilities?,No. we do not provide air transportation
What is the best place to do water rafting in Sri Lanka?,Kitulgala
Is it possible to watch Sun rise on Sigiriya Rock?,Yes It is possible
"Out of Peradeniya Botanical Garden and Haggala Botanical Garden, which is better?",Peradeniya Botanical Garden
Is there any possibility to feed baby elephants in Pinnawala?,Yes. But there is a time table
Is there any other elephant orphanage in Sri Lanka except Pinnawala.,Yes. Udawalawa Elephant Transit Home
What are the activities we can do during the village tour?,"Bullock Cart Ride,Boat Ride,Visit a Local Farm,Cooking Demonstration,Meet Local Artisans"
What are the most famous beaches in Sri Lanka?,"Mirissa, Bentota, Weligama, Trincomalee, Pasikudah, Unawatuna"
What are the places related to Ramayana in Sri Lanka?,"Munneswaram Kovil, Manavari Temple, Koneswaram Temple, Sigiriya Rock, Sri Bhaktha Hanuman Temple, Sita Amman Kovil, Ravana Caves, Ravana Falls"
What are the types of whales we can spot in Sri Lanka?,"Blue Whale,Sperm Whale,Bryde’s Whale,Fin Whale,Humpback Whale"
How many hours would a safari take?,around 3  Hours
Is there any possibility to arrange candle light dinners at the hotels.,Yes. Have to request in advance
Are there hotels where we can spend the night on a tree house?,Yes there are hotels where tree houses are available  in Sri Lanka
Does your company provide home stays?,No we don't. We can facilitate only 3-star hotels and above
Can we purchase gems from Sri Lanka?,Yes. There are shops where you can purchase gems.
"Do you arrange yoga sessions,massages and ayurwedic treatments at the hotels?",Yes. Have to request in advance
What are the clothes we have to where when we visit Temples in Sri Lanak?,Wear long skirts or dresses that cover the knees. Avoid short skirts or dresses. Sleeveless tops or dresses are generally not acceptable. Consider wearing a blouse with sleeves or carrying a shawl or scarf to cover your shoulders.
Are there plenty of restaurants to buy pure vegetarian food in Sri Lanka?,"Pure vegetarian options are widely available in Sri Lanka, especially in tourist and city areas."
Do we have buffet at every hotel?,It is not guaranteed at every hotel. It’s best to check specific hotel offerings in advance to ensure they meet your dining preferences.
What are the rainy months in Sri Lanka?,"May to September: South-West Monsoon affects the south-western part of Sri Lanka, including cities like Colombo, Galle, and the southern coastal areas. /October to January:North-East Monsoon affects the north-eastern part of Sri Lanka, including cities like Trincomalee, Jaffna, and the eastern coastal regions."
Do the hotels have Christmas and new year celebrations in Sri Lanka?,Yes. Christmas Eve Dinner - 24th of December / New Year Eve Dinner - 31st of January
What are the waterfalls we can visit during our tour to Sri Lanka?,"Ramboda Water falls, Ravana Falls, Ellewele falls, and more"
Can we release Baby Sea Turtles at Turtle Hatcheries?,"Yes,you can participate in releasing baby sea turtles."
Can we visit mask shops in Sri Lanka?,"Yes, you can visit mask shops in Sri Lanka, particularly in areas known for traditional mask-making such as Ambalangoda"
What are the popular diving locations in Sri Lanka?,"Hikkaduwa,Unawatuna,Mirissa,Trincomalee"
What are the popular locations to experience Sun set on a yacht while sailing?,"Colombo,Galle,Bentota,Mirissa,Trincomalee"
What are the popular locations for surfing?,"Arugam Bay,Weligama,Hikkaduwa,Tangalle"
,
